Perceived of Accuracy,Sign Used
80.0,Wn-12
70.0,Wn-6
60.0,Wn-8
33.33333333,Wn-4
33.33333333,Wn-8
50.0,Wn-6
50.0,Wn-8
42.85714286,Wn-5
42.85714286,Wn-8
70.0,Wn-4
70.0,Wn-8
80.0,Wn-4
80.0,Wn-9
80.0,Wn-4
80.0,Wn-8
100.0,Wn-2
100.0,Wn-3
100.0,Wn-4
100.0,Wn-7
100.0,Wn-4
100.0,Wn-4
100.0,Wn-2
100.0,Wn-4
100.0,Wn-4
100.0,Wn-8
50.0,Wn-4
50.0,Wn-7
50.0,Wn-8
100.0,Wn-4
100.0,Wn-2
100.0,Wn-4
100.0,Wn-4
100.0,Wn-7
33.33333333,Wn-1
66.66666667,Wn-4
33.33333333,Wn-2
50.0,Wn-4
50.0,Wn-7
100.0,Wn-1
100.0,Wn-2
100.0,Wn-4
100.0,Wn-7
40.0,Wn-4
66.66666667,Wn-4
66.66666667,Wn-7
40.0,Wn-2
50.0,Wn-4
50.0,Wn-8
100.0,Wn-8
100.0,Wn-4
100.0,Wn-4
50.0,Wn-5
50.0,Wn-4
100.0,Wn-8
100.0,Wn-9
66.66666667,Wn-4
75.0,Wn-7
50.0,Wn-8
60.0,Wn-4
60.0,Wn-7
60.0,Wn-9
100.0,Wn-2
100.0,Wn-4
100.0,Wn-7
50.0,Wn-4
33.33333333,Wn-7
40.0,Wn-2
50.0,Wn-4
50.0,Wn-7
50.0,Wn-4
50.0,Wn-7
50.0,Wn-4
50.0,Wn-7
75.0,Wn-9
100.0,Wn-4
100.0,Wn-8
50.0,Wn-8
100.0,Wn-2
50.0,Wn-4
100.0,Wn-7
