,Age,Fishing Experience,Province,Fishing Role,Experience as Head of Communities,Fishing Duration,Number of Experience with Disaster,Level of Interaction with Disaster,Wn-1,Wn-10,Wn-11,Wn-12,Wn-13,Wn-14,Wn-15,Wn-16,Wn-17,Wn-2,Wn-3,Wn-4,Wn-5,Wn-6,Wn-7,Wn-8,Wn-9,Number of LIK Combination,Usage Duration,Frequency of Usage (min) (in month),Frequency of Usage (max) (in month),Average Frequency of Usage (in month),Action Anticipation (Respon based on LIK codes)
1268,47,22,1,2,0,3,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20,5.0,5.0,5,Wn-13: Adjust fishing time
1270,47,22,1,2,0,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,20,3.0,3.0,3,Wn-2: Stay alert/retrieve fishing gear
1271,47,22,1,2,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,20,3.0,3.0,3,Wn-7: Be careful
1274,47,25,1,1,0,3,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,2.0,2.0,2,Wn-1: Adjust fishing time
1275,47,25,1,1,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,21,2.0,2.0,2,Wn-6: Be careful
1277,48,13,1,1,0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,3.0,3.0,3,Wn-1: Adjust fishing time
1278,48,13,1,1,0,3,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,18,3.0,3.0,3,Wn-3: Be careful
1280,48,16,1,1,0,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3.0,3.0,3,Wn-1: No action
1281,48,16,1,1,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,12,3.0,3.0,3,Wn-4: No action
1282,48,16,1,1,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,12,3.0,3.0,3,Wn-8: No action
1286,48,18,1,1,0,3,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,15,2.0,2.0,2,Wn-2: Be careful
