Respondent_ID;Age;Fishing Experience;Province;Beach;Fishing Role;Experience as Head of Communities;Boat Type;Fishing Duration;Usage of LIK;Benefit from LIK;Experience with Disaster;Number of Experience with Disaster;Usage of ICT;BMKG;Radio;Cuaca;GPS;Fish Finder;MSW Paris;Radar Kapal;Surf Parangtritis;Windy;Benefit from ICT;B.1;B.2;B.3;B.4;B.5;B.6;Level of Interaction with Disaster;LIK Combination;C-1;Cr-1;Cr-2;Cr-3;Cr-4;Td-1;Td-2;Td-3;Ts-1;Ts-2;Ts-3;Ts-4;Ts-5;Ts-6;Ts-7;Wn-1;Wn-10;Wn-11;Wn-12;Wn-13;Wn-14;Wn-15;Wn-16;Wn-17;Wn-2;Wn-3;Wn-4;Wn-5;Wn-6;Wn-7;Wn-8;Wn-9;Wth-1;Wth-2;Wv-1;Wv-2;Wv-3;Number of LIK Combination;Usage Persistance;Usage Duration;Frequency of Usage (min) (in month);Frequency of Usage (max) (in month);Average Frequency of Usage (in month);Number of Prediction Made (the last month, except tsunami);Disaster Happen (the last month, except tsunami);Perceived of Accuracy;Action Anticipation (Respon based on LIK codes)
16;27;4;1;2;1;0;4;1;1;1;B.2, B.3, B.6;3;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;3;Td-1, Td-2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;5;16;24;20;12;10;83,33333333;Td-2: Be careful
17;27;4;1;1;1;0;4;1;1;1;B.4, B.6;2;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;5;Wth-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;5;3;4;3,5;13;8;61,53846154;Wth-1: Stop fishing activities
17;27;4;1;1;1;0;4;1;1;1;B.4, B.6;2;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;2;Td-1, Td-3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;5;20;24;22;20;10;50;Td-1: Adjust fishing time
17;27;4;1;1;1;0;4;1;1;1;B.4, B.6;2;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;2;Td-1, Td-3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;5;20;24;22;20;10;50;Td-3: Be careful
18;27;5;1;1;1;0;4;1;1;1;B.2, B.3;2;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;2;Wn-1, Wn-3, Wn-8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;5;16;20;18;15;15;100;Wn-1: Adjust fishing time
18;27;5;1;1;1;0;4;1;1;1;B.2, B.3;2;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;2;Wn-1, Wn-3, Wn-8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;5;16;20;18;15;15;100;Wn-3: Repair boat
18;27;5;1;1;1;0;4;1;1;1;B.2, B.3;2;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;2;Wn-1, Wn-3, Wn-8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;5;16;20;18;15;15;100;Wn-8: Be careful
18;27;5;1;1;1;0;4;1;1;1;B.2, B.3;2;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;6;Wv-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;5;2;4;3;4;3;75;Wv-1: Be careful
19;27;5;1;3;1;0;4;1;1;1;B-2, B-4;2;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;4;Wn-3, Wn-4, Wn-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;5;16;20;18;18;18;100;Wn-3: Adjust fishing time
19;27;5;1;3;1;0;4;1;1;1;B-2, B-4;2;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;4;Wn-3, Wn-4, Wn-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;5;16;20;18;18;18;100;Wn-4: Adjust fishing time
19;27;5;1;3;1;0;4;1;1;1;B-2, B-4;2;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;4;Wn-3, Wn-4, Wn-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;5;16;20;18;18;18;100;Wn-9: Be careful
19;27;5;1;3;1;0;4;1;1;1;B-2, B-4;2;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;3;Wth-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;5;4;6;5;10;8;80;Wth-1: Stop fishing activities
20;27;7;1;1;1;0;4;1;1;1;B.3, B.5, B.6;3;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;5;Wv-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;7;5;6;5,5;10;7;70;Wv-1: Adjust fishing equipment
20;27;7;1;1;1;0;4;1;1;1;B.3, B.5, B.6;3;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;4;Cr-1, Cr-3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;7;3;4;3,5;6;5;83,33333333;Cr-1: No action
